ONS.ID,Constituency,Nation,Region,2010.winner,2015.winner,2017.winner,2019.winner,Result.,Runner.up,Majority.2017,Majority.simple,Con.2019,Lab.2019,LDem.2019,Brex.2019,Grn.2019,SNP.2019,PC.2019,UKIP.2019,DUP.2019,SF.2019,SDLP.2019,UUP.2019,Alli.2019,Ind.2019,Oth...Ind,Oth...Ind.1,Turnout.2019,Turnout.2017,Turnout.2015,Turnout.2010,Winner.pct.2019,Runner.up.pct.2019,Con.pct.2019,Lab.pct.2019,LDem.pct.2019,Brex.pct.2019,Grn.pct.2019,SNP.pct.2019,PC.pct.2019,UKIP.pct.2019,DUP.pct.2019,SF.pct.2019,SDLP.pct.2019,UUP.pct.2019,Alli.pct.2019,Ind.pct.2019,Oth...Ind.2,Oth...Ind.3,Con.pct.change.2019,Lab.pct.change.2019,LDem.pct.change.2019,Brex.pct.change.2019,Grn.pct.change.2019,SNP.pct.change.2019,PC.pct.change.2019,UKIP.pct.change.2019,DUP.pct.change.2019,SF.pct.change.2019,SDLP.pct.change.2019,UUP.pct.change.2019,Alli.pct.change.2019,Ind.pct.change.2019,Oth...Ind.4,Oth...Ind.5,1st.place.2017,2nd.place.2017,Con.2017,Lab.2017,LDem.2017,Grn.2017,SNP.2017,PC.2017,UKIP.2017,DUP.2017,SF.2017,SDLP.2017,UUP.2017,Alli.2017,Oth.2017,Con.2015,Lab.2015,LDem.2015,Grn.2015,SNP.2015,PC.2015,UKIP.2015,Oth.2015,leave.vote.pct.2016,pct.18.29,pct.30.44 ,pct.45.64 ,pct.65plus ,born.in.EU.pct ,no.qualifications.pct ,with.degree.pct ,fulltime.students.pct ,student.households.pct ,pct.hhs.2plus.deprivational.indicators ,White.pct ,Mixed.pct ,Indian.pct ,Pakistani.pct ,Bangladeshi.pct ,Chinese.pct ,Other Asian.pct ,Black.pct ,Arab.pct ,Other.pct ,Christian.pct ,Buddhist.pct ,Hindu.pct ,Jewish.pct ,Muslim.pct ,Sikh.pct ,No.religion.pct ,pct.agriculture ,pct.mining ,pct.manufacturing,pct.construction ,pct.wholesale ,pct.transport ,pct.accommodation ,pct.communication ,pct.finance ,pct.real.estate ,pct.professionals ,pct.education ,pct.social work
W07000049,Aberavon,WAL,WAL,Lab,Lab,Lab,Lab,hold,Con,50.4,33.2,6518,17008,1072,3108,450,0,2711,0,0,0,0,0,0,731,0,0,62.3,66.7,63.3,61,53.8,20.6,20.6,53.8,3.4,9.8,1.4,0,8.6,0,0,0,0,0,0,2.3,0,0,2.9,-14.3,1.6,9.8,1.4,0,0.3,-4,0,0,0,0,0,0,0,0,Lab,Con,17.7,68.1,1.8,NA,NA,8.3,4,NA,NA,NA,NA,NA,NA,11.9,48.9,4.4,2.3,NA,11.6,15.8,5.1,60,14.8,19.1,27.4,18.3,2,32.9,8.3,6.2,0,38.1,97.6,0.7,0.2,0.1,0.3,0.2,0.3,0.3,0.1,0.1,56.8,0.2,0.1,0,0.6,0.1,34.7,0.3,0.3,17.3,8.5,15.1,4.2,5.2,1.8,3.1,1.1,3,7.6,13.8
W07000058,Aberconwy,WAL,WAL,Con,Con,Con,Con,hold,Lab,2,6.4,14687,12653,1821,0,0,0,2704,0,0,0,0,0,0,0,0,0,71.3,71,66.2,67.2,46.1,39.7,46.1,39.7,5.7,0,0,0,8.5,0,0,0,0,0,0,0,0,0,1.5,-2.9,2.8,0,0,0,-1.4,0,0,0,0,0,0,0,0,0,Con,Lab,44.6,42.6,2.9,NA,NA,9.9,NA,NA,NA,NA,NA,NA,NA,41.5,28.2,4.6,2.4,NA,11.7,11.5,NA,53.4,11.9,16.9,28.4,24.2,4.2,23.7,14.2,6.7,0,24.9,97.8,0.8,0.2,0.1,0.1,0.3,0.3,0.2,0.2,0.1,64.5,0.3,0.1,0.1,0.4,0,26.4,1.7,0.3,4.4,8.2,16.8,3.6,12,1.8,1.7,1.6,5,10.3,15.7
S14000001,Aberdeen North,SCO,SCO,Lab,SNP,SNP,SNP,hold,Con,11.3,33.9,7535,4939,2846,1008,880,20205,0,0,0,0,0,0,0,0,0,0,59.9,59.2,64.9,58.2,54,20.1,20.1,13.2,7.6,2.7,2.4,54,0,0,0,0,0,0,0,0,0,0,-2.6,-16.8,3,2.7,2.4,12.7,0,0,0,0,0,0,0,0,0,0,SNP,Lab,22.7,30,4.6,NA,41.3,NA,NA,NA,NA,NA,NA,NA,1.4,12.1,25.9,4.7,NA,56.4,NA,NA,0.9,43.1,28.9,20.4,21.8,13,17.4,22.5,NA,20.3,4.4,NA,90.2,0,1.9,0.5,0.3,1.1,1.2,NA,0.6,0.2,38.3,0.4,1.3,0.1,2.3,0.1,49.8,0.4,6.6,6.5,6.1,16.3,5.9,8.9,2.2,1.2,0.7,8,7.8,14.5
S14000002,Aberdeen South,SCO,SCO,Lab,SNP,Con,SNP,gain,Con,10.6,8.7,16398,3834,5018,0,0,20388,0,0,0,0,0,0,0,0,0,0,69.4,68.5,71.3,67.2,44.7,35.9,35.9,8.4,11,0,0,44.7,0,0,0,0,0,0,0,0,0,0,-6.2,-12.1,5.1,0,0,13.2,0,0,0,0,0,0,0,0,0,0,Con,SNP,42.1,20.5,5.9,NA,31.5,NA,NA,NA,NA,NA,NA,NA,NA,22.8,26.8,4.6,2,41.6,NA,1.8,0.3,32.3,21,21.9,25.5,15,12.5,17,NA,11.5,1.8,NA,92.6,0,1.4,0.4,0.2,0.8,1,NA,0.4,0.2,42.7,0.4,0.9,0.1,1.7,0,46.5,0.3,11.1,6.5,5.5,13.7,4.8,6.5,2.6,1.7,1,13.1,8.5,11.7
S14000003,Airdrie and Shotts,SCO,SCO,Lab,SNP,SNP,SNP,hold,Lab,0.5,13.1,7011,12728,1419,0,685,17929,0,0,0,0,0,0,0,0,0,0,62.1,59.2,66.4,57.5,45.1,32,17.6,32,3.6,0,1.7,45.1,0,0,0,0,0,0,0,0,0,0,-5.6,-5.1,1.5,0,1.7,7.5,0,0,0,0,0,0,0,0,0,0,SNP,Lab,23.2,37.1,2.1,NA,37.6,NA,NA,NA,NA,NA,NA,NA,NA,7.7,34.1,1.5,NA,53.9,NA,2.5,0.3,40.1,15.4,21.1,26.9,14.9,2.7,36,NA,6.3,0,NA,98.4,0,0.2,0.7,0,0.2,0.1,NA,0,0,70.1,0.1,0.1,0,0.7,0.1,22.7,0.7,0.5,10.3,11,16.7,6.6,3.9,2.7,4.2,0.7,2.9,6.3,15.3
E14000530,Aldershot,ENG,SE,Con,Con,Con,Con,hold,Lab,23.5,34.8,27980,11282,6920,0,1750,0,0,0,0,0,0,0,0,0,0,0,66,64.2,63.8,63.5,58.4,23.5,58.4,23.5,14.4,0,3.7,0,0,0,0,0,0,0,0,0,0,0,3.3,-8.1,7,0,1.5,0,0,-3.7,0,0,0,0,0,NA,NA,NA,Con,Lab,55.1,31.6,7.4,2.2,NA,NA,3.7,NA,NA,NA,NA,NA,NA,50.6,18.3,8.8,4.4,NA,NA,17.9,NA,58.2,17,23.7,23.9,12.7,8.1,18.5,13.9,6.7,0.1,19.2,85.5,2.1,1.4,0.6,0.2,0.5,7.1,1.9,0.2,0.5,58.1,3.1,3.2,0.1,1.4,0.2,26.5,0.1,0.1,7.1,7.5,16,5.1,5.3,6.4,3.7,1,6.1,7.3,11
E14000531,Aldridge-Brownhills,ENG,WM,Con,Con,Con,Con,hold,Lab,35.6,50.4,27850,8014,2371,0,771,0,0,0,0,0,0,0,0,0,0,336,65.4,66.7,65.6,65.1,70.8,20.4,70.8,20.4,6,0,2,0,0,0,0,0,0,0,0,0,0,0.9,5.4,-9.4,2.7,0,2,0,0,0,0,0,0,0,0,NA,NA,NA,Con,Lab,65.4,29.8,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,52,22.4,3.4,2.1,NA,NA,19.6,0.5,68,12.3,18.7,27,21.7,2.1,29.5,10,6.2,0,26.9,93.1,1.5,2.5,0.4,0.2,0.3,0.6,1,0.1,0.3,70.2,0.2,0.7,0,0.7,2,19.7,0.1,0.1,13.9,10.2,17.6,4.9,3.9,1.9,3.6,1.5,4.5,10.8,11.8
E14000532,Altrincham and Sale West,ENG,NW,Con,Con,Con,Con,hold,Lab,12.2,11.2,26311,20172,6036,0,1566,0,0,0,0,0,0,0,0,224,0,454,74.9,72.1,70.2,69.3,48,36.8,48,36.8,11,0,2.9,0,0,0,0,0,0,0,0,0.4,0,0.8,-3,-2,3.3,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,Con,Lab,51,38.8,7.7,1.9,NA,NA,NA,NA,NA,NA,NA,NA,0.6,53,26.7,8.4,3.9,NA,NA,8,NA,38.5,11.8,21.4,26.7,17.1,6,15.2,28.6,6.9,0,16.6,90.4,2.1,2,1.8,0.1,1.1,0.6,1,0.5,0.4,65.3,0.3,1.3,2.3,3.1,0.3,20.8,0.2,0.1,7.1,6.5,14.8,4,4.4,5.5,5.2,1.8,11.8,10.4,13.1
W07000043,Alyn and Deeside,WAL,WAL,Lab,Lab,Lab,Lab,hold,Con,11.7,0.5,18058,18271,2548,2678,0,0,1453,0,0,0,0,0,0,0,0,0,68.5,71,66.6,65.5,42.5,42,42,42.5,5.9,6.2,0,0,3.4,0,0,0,0,0,0,0,0,0,1.6,-9.6,3.5,6.2,0,0,0.8,-2.5,0,0,0,0,0,0,0,0,Lab,Con,40.4,52.1,2.4,NA,NA,2.6,2.5,NA,NA,NA,NA,NA,NA,31.9,40,4.2,2.4,NA,3.9,17.6,NA,57.7,14.7,20.5,26.4,16.6,5.7,22.6,10.5,6.4,0,23.8,98.2,0.6,0.2,0.1,0.2,0.3,0.2,0.1,0.1,0.1,65.6,0.2,0.2,0,0.4,0,26.3,0.7,0.2,19.6,7.3,17.5,4,4.9,2.1,4.8,0.9,4.4,7.8,10.5
E14000533,Amber Valley,ENG,EM,Con,Con,Con,Con,hold,Lab,18.1,37.1,29096,12210,2873,0,1388,0,0,0,0,0,0,0,0,0,0,0,65.1,67.3,65.1,65.5,63.9,26.8,63.9,26.8,6.3,0,3,0,0,0,0,0,0,0,0,0,0,0,7.4,-11.6,3.9,0,1.6,0,0,0,0,0,0,0,0,NA,NA,NA,Con,Lab,56.5,38.4,2.4,1.4,NA,NA,NA,NA,NA,NA,NA,NA,1.2,44,34.8,3,2.4,NA,NA,15.9,NA,65.3,13.4,20.1,28.4,18.2,2.8,29.7,9.3,5.3,0,28,98.4,0.7,0.3,0.1,0,0.2,0.2,0.2,0,0.1,60,0.2,0.1,0.1,0.2,0.1,31.7,0.4,0.2,20.1,9.7,17.2,5,4.3,1.9,1.5,1.2,4.1,8.4,11.3
